poiID,nombre,capacidad,media_libres,media_libres_discapacitados,max_libres,max_libres_discapacitados,min_libres,min_libres_discapacitados
1,Salitre,342,171,-1,246,-1,88,-1
2,Cervantes,414,55,-1,55,-1,55,-1
3,El Palo,129,6,-1,6,-1,6,-1
4,Av. de Andalucía,517,101,-1,101,-1,101,-1
5,Camas,-1,30,-1,30,-1,30,-1
6,Cruz De Humilladero,100,76,-1,93,-1,57,-1
8,Alcazaba,-1,45,-1,45,-1,45,-1
9,San Juan De La Cruz,410,334,-1,394,-1,246,-1
10,Pz. de la Marina,256,2,-1,2,-1,2,-1
12,Tejón y Rodriguez,-1,32,-1,32,-1,32,-1
138,El Carmen,-1,-1,-1,-1,-1,-1,-1
139,Mármoles,-1,-1,-1,-1,-1,-1,-1
140,El Limonar,161,-1,-1,-1,-1,-1,-1
142,Bailén,-1,-1,-1,-1,-1,-1,-1
